id_activity,Year of award / year of completion,Name of researcher,Name of awardee,Titre EN
1,2015,Chiffoleau,,Prize “Don de soi-don de vie” Fondation du rein 
2,2016,Martin,,Prix pour les jeunes chercheurs de la Fondation Bettencourt-Shueller
3,2018,Martin,,Bourse de la Phillippe Foundation 
4,2018,Martin,,Rising Star in Immunology - FOCIS 2018 
5,2019,Guillonneau / Anegon,,Prix Fondation Grand Ouest 
6,2019,Guillonneau / Anegon,,20th laureate prize from Beatrice Denys Foundation 
7,2015,Nguyen,,"i-LAB2015, concours national d'aide à la création d'entreprises de technologies  innovantes du ministère de l’Education nationale, de l’Enseignement supérieur et de la Recherche"
8,2016,Nguyen,,"i-LAB2016, Grand Prix Biotechnologies - Pharma, « Creav-Dev » concours national d'aide à  la création d'entreprises de technologies  innovantes du ministère de l’Education nationale, de  l’Enseignement supérieur et de la Recherche : Goliver - Développement de Solutions Thérapeutiques Cellulaires Innovantes pour le Traitement des Maladies du Foie"
9,2016,Nguyen,,"STAR WEST - concours des start-up, Région Pays de la Loire "
10,2018,Nguyen,,"Prix Coup de Cœur du Public 2018, Forum Atlanpole"
11,2019,Nguyen,,"Prix French Tech Transfer Invest (FTTI) Start-up contest (BPI, Tech Tour)"
12,2017,Ville,,Prix Jeune pousse de la transplantation (SFNDT)
13,2018,Blancho,,Academic Palms
14,2019,Kervella,,"Young Investigator Award, ESOT Congress, Copenhagen, Danemark, 15-18/09/19"
15,2019,Kervella,,"Best Poster Progreffe Award, SFT Congress, Bordeaux, 4-6/12/19"
16,2019,Prudhomme,,"17th IPITA Congress, Lyon 2-5/07/2019 -  Final Pitch Elevator Abstract - Ex situ hypothermic perfusion of non-human primate pancreas: a feasibility study."
17,2018,Limou,Limou,Best poster - Labex IGO (French)
18,2018,Limou,Limou,Best oral presentation - EFI annual conference (European)
19,2018,Limou,Ba ,Best oral communication - NAT annual meeting (Local)
20,2015,Haspot,Gergen ,"Best poster award resulting in an oral presentation - Inhibition of human cytomegalovirus replication by the Crispr/cas9 system- 6th European congress of Virology Hamburg, Germany- 19-22/10/2015"
21,2016,Soulillou,,Medawar Prize of The Transplantation Society
22,2018,Laplaud,Dugast,"Best poster presentation, ECTRIMS"
23,2019,Laplaud,Dugast,"Best poster presentation, ARSEP meeting"
24,2020,Brouard,,CNRS Innovation Medal 2020
25,2017,Roquilly,,Award ? Etoiles montantes Région pays de la Loire 
26,2017,Caillon,,Award ? Bourse de recherche SPILF (Travaux Romain Lamberet : Rôle des cellules épithéliales dans l'activation des cellules NK au cours d'une infection pulmonaire à Pseudomonas aeruginosa : Impact de l'IL22.
27,2016,Guillonneau,,Prix Fondation du Rein
28,2016,Guillonneau,,Prix France Transplant
29,2015,Bruneau,,Prix Jeune Chercheur Fondation du Rein
30,2016,Néel,,"Grand Prix Lymphome 2016, LYSA (Lymphoma Study Association)"
31,2015,Guillonneau,,Young Investigator Award of the European Society for Organ Transplantation (ESOT)
32,2016,Guillonneau,,Basic Science Mentee-Mentor Award de la SFT
33,2020,Guillonneau,,Prix Albert Sézary de l'Académie Nationale de Médecine pour ses travaux sur les Tregs CD8+
34,2020,Ville,,"Prix Jeune Chercheur Fondation Bettencourt Schueller - mobilité à Cambridge, UK"